ngram,match_count,selectivity,bucket_lo,bucket_hi,bucket_span,rows_in_buckets,prune_rate,time_full_ms,time_fp_ms,speedup
edh,19,1.5465962590929685e-06,40,40,1,48952,0.9960153168381516,1047.9636249999658,60.45066699994095,17.335848833578453
edu,1117,9.092358007404451e-05,40,40,1,48952,0.9960153168381516,1044.8348749998786,112.32599999993909,9.301807907345095
eg-,4,3.2559921244062496e-07,41,41,1,47922,0.9960991586353551,1053.2887909998863,60.76000000007298,17.33523355823932
egé,17,1.383796652872656e-06,41,41,1,47922,0.9960991586353551,1173.8882079998803,59.905750000098124,19.595584864523982
elj,9,7.325982279914061e-07,42,42,1,47908,0.9961002982325986,1047.6624170000832,60.45166700005211,17.330579436282214
em&,1,8.139980311015624e-08,42,42,1,47908,0.9961002982325986,1032.4322499998289,58.898917000078654,17.528883425792873
eoe,7,5.697986217710937e-07,43,43,1,17218,0.9985984581900493,1064.1309999998612,55.45099999994818,19.190474472973538
erè,2,1.6279960622031248e-07,150,150,1,5175371,0.5787258195779876,1164.5664160000706,484.22116699998696,2.4050299643346693
esf,27,2.1977946839742186e-06,150,150,1,5175371,0.5787258195779876,1014.5025000001624,505.06545899997946,2.00865547608197
etg,2,1.6279960622031248e-07,151,151,1,47435,0.9961388003394698,1011.1869999998362,55.51362500000323,18.2151138571797
eu-,47,3.825790746177343e-06,151,151,1,47435,0.9961388003394698,1010.2346250000664,68.10700000005454,14.833051301617417
evi,2418,0.00019682472392035778,151,151,1,47435,0.9961388003394698,1062.1813749999092,83.4282499999972,12.73167512203534
ex!,2,1.6279960622031248e-07,151,151,1,47435,0.9961388003394698,1048.3337499999834,54.112124999846856,19.373361330809875
f@c,2,1.6279960622031248e-07,152,152,1,47198,0.9961580920928068,1040.2578330001688,58.03133299991714,17.92579593168494
fb3,2,1.6279960622031248e-07,153,153,1,47912,0.9960999726333862,1014.102874999935,57.42974999998296,17.658145386323916
fcc,7,5.697986217710937e-07,153,153,1,47912,0.9960999726333862,1031.6912910000156,50.22120800003904,20.542940564058387
fdt,1,8.139980311015624e-08,153,153,1,47912,0.9960999726333862,1033.7455830001545,58.46854199990048,17.680372173499965
fio,455,3.703691041512109e-05,154,154,1,49013,0.9960103514501619,1035.868624999921,160.3301669999837,6.4608466664918165
